Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool,entities,URL,Hashtags,Video
"🇸🇳 Mané notched his 20th goal this season in the 1st leg 🔥 

Who will score tonight?

#UCL https://t.co/GTTlJLLveu",03/05/2022 08:10,1.5214E+18,ChampionsLeague,,,98,1652,en,Twitter Media Studio,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [86, 90]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521128293524725761, 'id_str': '1521128293524725761', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1521128293524725761/img/h43Gmem0T7VaqgiE.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1521128293524725761/img/h43Gmem0T7VaqgiE.jpg', 'url': 'https://t.co/GTTlJLLveu', 'display_url': 'pic.twitter.com/GTTlJLLveu', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521401674794946564/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521401674794946564,UCL,TRUE
"🟡🔴 Liverpool bossed it at Anfield. What will happen at La Cerámica? 🤷

#UCL https://t.co/GgTPsRUmdf",03/05/2022 07:00,1.52138E+18,ChampionsLeague,,,408,5695,en,Twitter Media Studio,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [71, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521120439472435200, 'id_str': '1521120439472435200', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/FRwa-v9XMAA4bZk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FRwa-v9XMAA4bZk.jpg', 'url': 'https://t.co/GgTPsRUmdf', 'display_url': 'pic.twitter.com/GgTPsRUmdf', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521384058642526208/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521384058642526208,UCL,
"🗓️ One touch &amp; finish. Anelka makes no mistake on this day in 2000 💥

#UCL https://t.co/tZ00vIKlqH",03/05/2022 06:00,1.52137E+18,ChampionsLeague,,,118,1844,en,Twitter Media Studio,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [74, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521120439380201472, 'id_str': '1521120439380201472', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1521120439380201472/img/Lhd4HLt26n4ywbbl.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1521120439380201472/img/Lhd4HLt26n4ywbbl.jpg', 'url': 'https://t.co/tZ00vIKlqH', 'display_url': 'pic.twitter.com/tZ00vIKlqH', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521368960813346817/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521368960813346817,UCL,TRUE
"Villarreal trail 2-0 against Liverpool but anything can happen in the #UCL...

Who will make the final? https://t.co/Dimq3c3OGB",03/05/2022 04:00,1.52134E+18,ChampionsLeague,,,277,3565,en,Twitter Media Studio,,,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [70, 74]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1521120439401074691, 'id_str': '1521120439401074691', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/media/FRwa-vsWUAMEe8M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FRwa-vsWUAMEe8M.jpg', 'url': 'https://t.co/Dimq3c3OGB', 'display_url': 'pic.twitter.com/Dimq3c3OGB', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521338763951194112/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521338763951194112,UCL,
"Phil Foden touch 🔥

@PhilFoden | #UCL https://t.co/deqZfho5KO",02/05/2022 20:32,1.52123E+18,ChampionsLeague,,,61,1046,de,Twitter Web App,1.52123E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [33, 37]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PhilFoden', 'name': 'Phil Foden', 'id': 729365546861498368, 'id_str': '729365546861498368', 'indices': [20, 30]}], 'urls': [], 'media': [{'id': 1521224769575735299, 'id_str': '1521224769575735299', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521224769575735299/pu/img/K_Ldp_CWmc8by-_K.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521224769575735299/pu/img/K_Ldp_CWmc8by-_K.jpg', 'url': 'https://t.co/deqZfho5KO', 'display_url': 'pic.twitter.com/deqZfho5KO', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521226094820614144/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521226094820614144,UCL,TRUE
"Luka Modrić. Again 👌

@lukamodric10 | #UCL https://t.co/aS6FzB056i",02/05/2022 20:31,1.52123E+18,ChampionsLeague,,,51,1059,und,Twitter Web App,1.52123E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [38, 42]}], 'symbols': [], 'user_mentions': [{'screen_name': 'lukamodric10', 'name': 'Luka Modrić', 'id': 3395146167, 'id_str': '3395146167', 'indices': [22, 35]}], 'urls': [], 'media': [{'id': 1521224539719573505, 'id_str': '1521224539719573505', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521224539719573505/pu/img/dG1VNX6lJGo7MzQl.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521224539719573505/pu/img/dG1VNX6lJGo7MzQl.jpg', 'url': 'https://t.co/aS6FzB056i', 'display_url': 'pic.twitter.com/aS6FzB056i', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521225975660527616/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521225975660527616,UCL,TRUE
"This from Bernardo Silva 🔝

@BernardoCSilva | #UCL https://t.co/ir1AufFZJU",02/05/2022 20:31,1.52123E+18,ChampionsLeague,,,41,555,en,Twitter Web App,1.52123E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [46, 50]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BernardoCSilva', 'name': 'Bernardo Silva', 'id': 485801262, 'id_str': '485801262', 'indices': [28, 43]}], 'urls': [], 'media': [{'id': 1521224337944109061, 'id_str': '1521224337944109061', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521224337944109061/pu/img/GxdDk4ovMcuS8Qec.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521224337944109061/pu/img/GxdDk4ovMcuS8Qec.jpg', 'url': 'https://t.co/ir1AufFZJU', 'display_url': 'pic.twitter.com/ir1AufFZJU', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521225922191544321/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521225922191544321,UCL,TRUE
"🇪🇬 Salah nutmeg assist 🅰️

@MoSalah | #UCL https://t.co/4IAiHcW1rT",02/05/2022 20:31,1.52123E+18,ChampionsLeague,,,70,630,et,Twitter Web App,1.52123E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [38, 42]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoSalah', 'name': 'Mohamed Salah', 'id': 2396677714, 'id_str': '2396677714', 'indices': [27, 35]}], 'urls': [], 'media': [{'id': 1521224038965780482, 'id_str': '1521224038965780482', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521224038965780482/pu/img/3L8lCj4N2Lxpf-Zt.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521224038965780482/pu/img/3L8lCj4N2Lxpf-Zt.jpg', 'url': 'https://t.co/4IAiHcW1rT', 'display_url': 'pic.twitter.com/4IAiHcW1rT', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521225880055566339/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521225880055566339,UCL,TRUE
"🇧🇷 Gabriel Jesus. Elusive.

@gabrieljesus9 | #UCL https://t.co/00ptwPXB1x",02/05/2022 20:31,1.52123E+18,ChampionsLeague,,,29,431,pt,Twitter Web App,1.52123E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [45, 49]}], 'symbols': [], 'user_mentions': [{'screen_name': 'gabrieljesus9', 'name': 'Gabriel Jesus', 'id': 825670395714007041, 'id_str': '825670395714007041', 'indices': [28, 42]}], 'urls': [], 'media': [{'id': 1521223616590925828, 'id_str': '1521223616590925828', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521223616590925828/pu/img/XHBLSVNS5fFAdrQy.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521223616590925828/pu/img/XHBLSVNS5fFAdrQy.jpg', 'url': 'https://t.co/00ptwPXB1x', 'display_url': 'pic.twitter.com/00ptwPXB1x', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521225796131737603/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521225796131737603,UCL,TRUE
"Luka Modrić nutmeg 😏

@lukamodric10 | #UCL https://t.co/gFZMmxi9bn",02/05/2022 20:30,1.52123E+18,ChampionsLeague,,,31,461,und,Twitter Web App,1.52123E+18,627673190,FALSE,"{'hashtags': [{'text': 'UCL', 'indices': [38, 42]}], 'symbols': [], 'user_mentions': [{'screen_name': 'lukamodric10', 'name': 'Luka Modrić', 'id': 3395146167, 'id_str': '3395146167', 'indices': [22, 35]}], 'urls': [], 'media': [{'id': 1521223372952190979, 'id_str': '1521223372952190979', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1521223372952190979/pu/img/nkhvY3uFAJAX4UbB.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1521223372952190979/pu/img/nkhvY3uFAJAX4UbB.jpg', 'url': 'https://t.co/gFZMmxi9bn', 'display_url': 'pic.twitter.com/gFZMmxi9bn', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1521225741777653761/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",www.twitter.com/championsleague/status/1521225741777653761,UCL,TRUE
