Date,HomeTeam,AwayTeam,Referee,HF,AF,TF,HY,AY,TY,HR,AR,TR
26/04/2017,Arsenal,Leicester,M Jones,9,13,22,2,4,6,0,0,0
26/04/2017,Crystal Palace,Tottenham,J Moss,13,15,28,3,3,6,0,0,0
26/04/2017,Middlesbrough,Sunderland,M Dean,15,11,26,3,3,6,0,0,0
27/04/2017,Man City,Man United,M Atkinson,10,8,18,1,0,1,0,1,1
29/04/2017,Crystal Palace,Burnley,R Madley,11,12,23,2,0,2,0,0,0
29/04/2017,Southampton,Hull,M Dean,9,13,22,0,3,3,0,0,0
29/04/2017,Stoke,West Ham,L Probert,12,3,15,1,0,1,0,0,0
29/04/2017,Sunderland,Bournemouth,S Attwell,13,9,22,3,2,5,0,0,0
29/04/2017,West Brom,Leicester,M Clattenburg,14,9,23,2,2,4,0,0,0
30/04/2017,Everton,Chelsea,J Moss,13,11,24,3,4,7,0,0,0
30/04/2017,Man United,Swansea,N Swarbrick,11,13,24,2,2,4,0,0,0
30/04/2017,Middlesbrough,Man City,K Friend,9,9,18,4,4,8,0,0,0
30/04/2017,Tottenham,Arsenal,M Oliver,7,15,22,1,3,4,0,0,0
01/05/2017,Watford,Liverpool,C Pawson,11,9,20,3,1,4,0,0,0
05/05/2017,West Ham,Tottenham,A Taylor,8,9,17,4,2,6,0,0,0
06/05/2017,Bournemouth,Stoke,P Tierney,10,15,25,2,0,2,0,0,0
06/05/2017,Burnley,West Brom,M Jones,9,14,23,1,3,4,0,0,0
06/05/2017,Hull,Sunderland,N Swarbrick,10,8,18,3,1,4,0,0,0
06/05/2017,Leicester,Watford,R East,8,10,18,0,0,0,0,0,0
06/05/2017,Man City,Crystal Palace,M Oliver,12,8,20,1,3,4,0,0,0
06/05/2017,Swansea,Everton,M Atkinson,5,13,18,0,0,0,0,0,0
07/05/2017,Arsenal,Man United,A Marriner,14,10,24,1,0,1,0,0,0
07/05/2017,Liverpool,Southampton,R Madley,9,4,13,1,3,4,0,0,0
08/05/2017,Chelsea,Middlesbrough,C Pawson,8,21,29,0,2,2,0,0,0
10/05/2017,Southampton,Arsenal,J Moss,5,5,10,1,2,3,0,0,0
12/05/2017,Everton,Watford,K Friend,7,11,18,0,3,3,0,0,0
12/05/2017,West Brom,Chelsea,M Oliver,13,8,21,3,0,3,0,0,0
13/05/2017,Bournemouth,Burnley,L Probert,6,11,17,0,1,1,0,0,0
13/05/2017,Man City,Leicester,R Madley,12,16,28,3,3,6,0,0,0
13/05/2017,Middlesbrough,Southampton,A Taylor,19,11,30,3,0,3,0,0,0
13/05/2017,Stoke,Arsenal,M Dean,13,7,20,1,2,3,0,0,0
13/05/2017,Sunderland,Swansea,A Marriner,13,6,19,4,0,4,0,0,0
14/05/2017,Crystal Palace,Hull,M Atkinson,13,14,27,3,5,8,0,0,0
14/05/2017,Tottenham,Man United,J Moss,14,15,29,1,2,3,0,0,0
14/05/2017,West Ham,Liverpool,N Swarbrick,5,10,15,2,0,2,0,0,0
15/05/2017,Chelsea,Watford,L Mason,7,12,19,2,4,6,0,1,1
16/05/2017,Arsenal,Sunderland,R East,15,10,25,4,2,6,0,0,0
16/05/2017,Man City,West Brom,C Pawson,8,11,19,1,2,3,0,0,0
17/05/2017,Southampton,Man United,M Dean,7,10,17,2,1,3,0,0,0
18/05/2017,Leicester,Tottenham,M Oliver,11,8,19,3,1,4,0,0,0
21/05/2017,Arsenal,Everton,M Oliver,10,15,25,2,4,6,1,0,1
21/05/2017,Burnley,West Ham,R Madley,11,14,25,2,2,4,0,0,0
21/05/2017,Chelsea,Sunderland,N Swarbrick,8,15,23,1,1,2,0,0,0
21/05/2017,Hull,Tottenham,A Marriner,14,5,19,0,0,0,0,0,0
21/05/2017,Leicester,Bournemouth,l Mason,11,10,21,4,1,5,0,0,0
21/05/2017,Liverpool,Middlesbrough,M Atkinson,13,8,21,0,1,1,0,0,0
21/05/2017,Man United,Crystal Palace,A Taylor,16,10,26,2,0,2,0,0,0
21/05/2017,Southampton,Stoke,L Probert,12,10,22,2,4,6,0,0,0
21/05/2017,Swansea,West Brom,M Dean,8,10,18,1,1,2,0,0,0
21/05/2017,Watford,Man City,J Moss,12,10,22,1,0,1,0,0,0
