Date,HomeTeam,AwayTeam,Referee,HF,AF,TF,HY,AY,TY,HR,AR,TR
15/10/2016,Stoke,Sunderland,M Jones,10,13,23,1,1,2,0,0,0
15/10/2016,West Brom,Tottenham,K Friend,14,10,24,2,2,4,0,0,0
16/10/2016,Middlesbrough,Watford,R East,15,10,25,4,1,5,0,0,0
16/10/2016,Southampton,Burnley,M Dean,11,10,21,1,2,3,0,0,0
17/10/2016,Liverpool,Man United,A Taylor,14,20,34,0,4,4,0,0,0
22/10/2016,Arsenal,Middlesbrough,M Dean,6,13,19,1,0,1,0,0,0
22/10/2016,Bournemouth,Tottenham,C Pawson,10,15,25,2,4,6,0,0,0
22/10/2016,Burnley,Everton,M Jones,16,15,31,2,3,5,0,0,0
22/10/2016,Hull,Stoke,K Friend,16,8,24,2,3,5,0,0,0
22/10/2016,Leicester,Crystal Palace,M Oliver,10,8,18,0,0,0,0,0,0
22/10/2016,Liverpool,West Brom,N Swarbrick,9,13,22,1,3,4,0,0,0
22/10/2016,Swansea,Watford,P Tierney,15,16,31,2,1,3,0,0,0
22/10/2016,West Ham,Sunderland,R Madley,10,13,23,2,5,7,0,0,0
23/10/2016,Chelsea,Man United,M Atkinson,7,17,24,3,2,5,0,0,0
23/10/2016,Man City,Southampton,M Clattenburg,11,10,21,3,3,6,0,0,0
29/10/2016,Crystal Palace,Liverpool,A Marriner,15,5,20,1,2,3,0,0,0
29/10/2016,Man United,Burnley,M Clattenburg,12,9,21,1,3,4,1,0,1
29/10/2016,Middlesbrough,Bournemouth,S Attwell,3,5,8,1,1,2,0,0,0
29/10/2016,Sunderland,Arsenal,M Atkinson,9,13,22,4,3,7,0,0,0
29/10/2016,Tottenham,Leicester,R Madley,11,20,31,3,4,7,0,0,0
29/10/2016,Watford,Hull,J Moss,13,8,21,1,2,3,0,0,0
29/10/2016,West Brom,Man City,L Mason,17,10,27,4,3,7,0,0,0
30/10/2016,Everton,West Ham,A Taylor,15,12,27,2,3,5,0,0,0
30/10/2016,Southampton,Chelsea,M Jones,13,16,29,0,0,0,0,0,0
31/10/2016,Stoke,Swansea,M Oliver,7,14,21,2,0,2,0,0,0
05/11/2016,Bournemouth,Sunderland,M Dean,14,17,31,3,2,5,0,1,1
05/11/2016,Burnley,Crystal Palace,A Taylor,11,12,23,1,2,3,0,0,0
05/11/2016,Chelsea,Everton,R Madley,5,16,21,0,3,3,0,0,0
05/11/2016,Man City,Middlesbrough,K Friend,7,15,22,1,3,4,0,0,0
05/11/2016,West Ham,Stoke,A Marriner,11,10,21,4,1,5,0,0,0
06/11/2016,Arsenal,Tottenham,M Clattenburg,11,17,28,1,2,3,0,0,0
06/11/2016,Hull,Southampton,G Scott,13,15,28,0,5,5,0,0,0
06/11/2016,Leicester,West Brom,C Pawson,8,8,16,0,2,2,0,0,0
06/11/2016,Liverpool,Watford,M Oliver,14,10,24,1,2,3,0,0,0
06/11/2016,Swansea,Man United,N Swarbrick,9,16,25,0,2,2,0,0,0
19/11/2016,Crystal Palace,Man City,R Madley,12,15,27,1,2,3,0,0,0
19/11/2016,Everton,Swansea,M Atkinson,13,12,25,4,2,6,0,0,0
19/11/2016,Man United,Arsenal,A Marriner,14,11,25,3,3,6,0,0,0
19/11/2016,Southampton,Liverpool,M Clattenburg,8,11,19,1,1,2,0,0,0
19/11/2016,Stoke,Bournemouth,R East,17,10,27,3,2,5,0,0,0
19/11/2016,Sunderland,Hull,L Mason,9,8,17,1,0,1,1,0,1
19/11/2016,Tottenham,West Ham,M Dean,13,16,29,3,2,5,0,1,1
19/11/2016,Watford,Leicester,N Swarbrick,12,18,30,2,3,5,0,0,0
20/11/2016,Middlesbrough,Chelsea,J Moss,13,10,23,2,3,5,0,0,0
21/11/2016,West Brom,Burnley,M Jones,12,12,24,0,0,0,0,0,0
26/11/2016,Burnley,Man City,A Marriner,5,15,20,2,3,5,0,0,0
26/11/2016,Chelsea,Tottenham,M Oliver,13,16,29,2,1,3,0,0,0
26/11/2016,Hull,West Brom,P Tierney,7,10,17,3,2,5,0,0,0
26/11/2016,Leicester,Middlesbrough,L Mason,15,12,27,4,4,8,0,0,0
26/11/2016,Liverpool,Sunderland,A Taylor,5,9,14,1,3,4,0,0,0
26/11/2016,Swansea,Crystal Palace,K Friend,12,24,36,4,5,9,0,0,0
27/11/2016,Arsenal,Bournemouth,M Jones,12,13,25,3,5,8,0,0,0
27/11/2016,Man United,West Ham,J Moss,16,16,32,3,1,4,0,0,0
27/11/2016,Southampton,Everton,C Pawson,11,15,26,0,2,2,0,0,0
27/11/2016,Watford,Stoke,R Madley,24,14,38,3,0,3,1,0,1
03/12/2016,Crystal Palace,Southampton,N Swarbrick,11,13,24,3,1,4,0,0,0
03/12/2016,Man City,Chelsea,A Taylor,14,9,23,2,3,5,2,0,2
03/12/2016,Stoke,Burnley,M Clattenburg,7,13,20,3,2,5,0,0,0
03/12/2016,Sunderland,Leicester,A Marriner,8,12,20,3,1,4,0,0,0
03/12/2016,Tottenham,Swansea,J Moss,11,17,28,0,4,4,0,0,0
03/12/2016,West Brom,Watford,G Scott,12,8,20,2,1,3,0,1,1
03/12/2016,West Ham,Arsenal,C Pawson,10,11,21,3,3,6,0,0,0
04/12/2016,Bournemouth,Liverpool,R Madley,9,17,26,2,2,4,0,0,0
04/12/2016,Everton,Man United,M Oliver,13,11,24,2,3,5,0,0,0
05/12/2016,Middlesbrough,Hull,M Dean,6,11,17,1,1,2,0,0,0
10/12/2016,Arsenal,Stoke,L Mason,9,6,15,0,0,0,0,0,0
10/12/2016,Burnley,Bournemouth,M Atkinson,14,18,32,2,2,4,0,0,0
10/12/2016,Hull,Crystal Palace,M Jones,16,14,30,2,4,6,0,0,0
10/12/2016,Leicester,Man City,M Oliver,10,7,17,2,1,3,0,0,0
10/12/2016,Swansea,Sunderland,C Pawson,10,8,18,1,2,3,0,0,0
10/12/2016,Watford,Everton,A Taylor,11,16,27,2,2,4,0,0,0
11/12/2016,Chelsea,West Brom,M Dean,6,10,16,2,4,6,0,0,0
11/12/2016,Liverpool,West Ham,M Clattenburg,7,8,15,2,0,2,0,0,0
11/12/2016,Man United,Tottenham,R Madley,19,17,36,3,3,6,0,0,0
11/12/2016,Southampton,Middlesbrough,S Attwell,14,12,26,4,3,7,0,0,0
13/12/2016,Bournemouth,Leicester,P Tierney,5,15,20,0,3,3,0,0,0
13/12/2016,Everton,Arsenal,M Clattenburg,10,10,20,1,1,2,1,0,1
14/12/2016,Crystal Palace,Man United,C Pawson,16,10,26,2,2,4,0,0,0
14/12/2016,Man City,Watford,K Friend,16,20,36,1,2,3,0,0,0
14/12/2016,Middlesbrough,Liverpool,J Moss,11,14,25,1,0,1,0,0,0
14/12/2016,Stoke,Southampton,A Taylor,9,10,19,1,2,3,1,0,1
14/12/2016,Sunderland,Chelsea,N Swarbrick,15,10,25,3,2,5,0,0,0
14/12/2016,Tottenham,Hull,A Marriner,6,14,20,0,2,2,0,0,0
14/12/2016,West Brom,Swansea,M Oliver,8,8,16,0,0,0,0,0,0
14/12/2016,West Ham,Burnley,R Madley,12,15,27,0,2,2,0,0,0
17/12/2016,Crystal Palace,Chelsea,J Moss,12,15,27,2,3,5,0,0,0
17/12/2016,Middlesbrough,Swansea,N Swarbrick,10,11,21,1,0,1,0,0,0
17/12/2016,Stoke,Leicester,C Pawson,9,12,21,2,6,8,0,1,1
17/12/2016,Sunderland,Watford,R Madley,10,9,19,1,2,3,0,0,0
17/12/2016,West Brom,Man United,A Taylor,9,13,22,3,3,6,0,0,0
17/12/2016,West Ham,Hull,L Mason,13,9,22,2,4,6,0,0,0
18/12/2016,Bournemouth,Southampton,M Clattenburg,6,12,18,0,2,2,0,0,0
18/12/2016,Man City,Arsenal,M Atkinson,9,13,22,4,2,6,0,0,0
18/12/2016,Tottenham,Burnley,K Friend,10,11,21,1,2,3,0,0,0
19/12/2016,Everton,Liverpool,M Dean,13,9,22,3,1,4,0,0,0
26/12/2016,Arsenal,West Brom,N Swarbrick,11,7,18,2,1,3,0,0,0
26/12/2016,Burnley,Middlesbrough,C Pawson,17,18,35,6,5,11,0,0,0
26/12/2016,Chelsea,Bournemouth,M Jones,13,14,27,1,1,2,0,0,0
26/12/2016,Hull,Man City,R Madley,11,14,25,1,0,1,0,0,0
26/12/2016,Leicester,Everton,S Attwell,14,7,21,3,0,3,0,0,0
26/12/2016,Man United,Sunderland,M Atkinson,6,9,15,1,1,2,0,0,0
26/12/2016,Swansea,West Ham,A Marriner,10,12,22,0,0,0,0,0,0
26/12/2016,Watford,Crystal Palace,M Clattenburg,18,17,35,2,4,6,0,0,0
