web_name,team name,first_name,second_name,squad_number,now_cost,selected_by_percent,total_points,points_per_game,minutes,bonus
Speroni,Crystal Palace,Julian,Speroni,1,41,4.9,23,3.3,630,3
Tomkins,Crystal Palace,James,Tomkins,5,43,0.4,12,1.7,502,0
Dann,Crystal Palace,Scott,Dann,6,47,0.5,21,1.8,1055,0
Ward,Crystal Palace,Joel,Ward,2,48,0.3,27,1.9,1214,0
Kelly,Crystal Palace,Martin,Kelly,34,42,0.2,6,3,139,0
Delaney,Crystal Palace,Damien,Delaney,27,42,0.2,0,0,90,0
Souaré,Crystal Palace,Pape,Souaré,23,45,0,0,0,0,0
Schlupp,Crystal Palace,Jeffrey,Schlupp,15,47,0.3,27,1.9,1137,0
van Aanholt,Crystal Palace,Patrick,van Aanholt,3,51,0.8,7,0.9,588,0
Puncheon,Crystal Palace,Jason,Puncheon,42,45,0.4,11,1.2,554,0
Zaha,Crystal Palace,Wilfried,Zaha,11,69,5.1,40,4,886,0
McArthur,Crystal Palace,James,McArthur,18,43,2.4,24,2,706,1
Lee Chung-yong,Crystal Palace,Chung-yong,Lee,14,43,0.4,3,1.5,109,0
Cabaye,Crystal Palace,Yohan,Cabaye,7,54,0.3,34,2.6,1016,3
Sako,Crystal Palace,Bakary,Sako,26,49,0.1,9,1.1,164,0
Townsend,Crystal Palace,Andros,Townsend,10,57,0.9,40,2.5,1378,2
Milivojevic,Crystal Palace,Luka,Milivojevic,4,46,0.5,40,2.7,1189,4
Wickham,Crystal Palace,Connor,Wickham,21,54,0,0,0,0,0
Benteke,Crystal Palace,Christian,Benteke,17,76,2.1,14,1.3,851,0
Pickford,Everton,Jordan,Pickford,1,48,6.2,53,3.3,1440,4
Robles,Everton,Joel,Robles,33,43,0.2,0,0,0,0
Stekelenburg,Everton,Maarten,Stekelenburg,22,43,0.4,0,0,0,0
Baines,Everton,Leighton,Baines,3,57,3.8,36,2.8,1099,2
Coleman,Everton,Seamus,Coleman,23,64,0.2,0,0,0,0
Jagielka,Everton,Phil,Jagielka,6,47,2.7,16,1.5,899,1
Pennington,Everton,Matthew,Pennington,38,40,0.1,0,0,0,0
Funes Mori,Everton,Ramiro,Funes Mori,25,49,0,0,0,0,0
Williams,Everton,Ashley,Williams,5,52,2.3,35,2.7,1023,2
Holgate,Everton,Mason,Holgate,30,42,1,21,3,630,0
Kenny,Everton,Jonjoe,Kenny,43,43,1.4,22,2.4,734,2
Keane,Everton,Michael,Keane,4,53,5.1,19,1.6,984,2
Bolasie,Everton,Yannick,Bolasie,7,64,0.1,0,0,0,0
Mirallas,Everton,Kevin,Mirallas,11,61,0.9,5,1,135,0
Barkley,Everton,Ross,Barkley,8,74,0.1,0,0,0,0
McCarthy,Everton,James,McCarthy,16,49,0,0,0,0,0
Barry,West Brom,Gareth,Barry,18,45,1.1,32,2.3,1125,0
Besic,Everton,Muhamed,Besic,21,43,0.2,2,1,46,0
Lennon,Everton,Aaron,Lennon,12,54,0.1,17,2.1,425,0
Schneiderlin,Everton,Morgan,Schneiderlin,2,47,0.5,15,1.4,803,0
Gueye,Everton,Idrissa,Gueye,17,48,0.9,29,1.8,1369,0
Davies,Everton,Tom,Davies,26,52,0.4,24,1.6,772,0
Lookman,Everton,Ademola,Lookman,31,51,0.1,9,1.5,142,0
Klaassen,Everton,Davy,Klaassen,20,70,0.3,4,1,187,0
Calvert-Lewin,Everton,Dominic,Calvert-Lewin,29,53,8.4,55,3.4,1128,3
Sandro,Everton,Sandro,Ramírez,9,71,0.4,8,1.3,229,0
Rooney,Everton,Wayne,Rooney,10,74,12.4,70,5,1068,14
Coleman,Huddersfield,Joel,Coleman,13,40,1.4,0,0,0,0
Lössl,Huddersfield,Jonas,Lössl,1,46,9.2,65,4.1,1440,5
Schindler,Huddersfield,Christopher,Schindler,26,46,3,49,3.3,1316,9
Löwe,Huddersfield,Chris,Löwe,15,45,2.9,44,3.1,967,0
Smith,Huddersfield,Tommy,Smith,2,48,0.3,32,2.5,1114,2
Hefele,Huddersfield,Michael,Hefele,44,42,0.1,1,1,1,0
Cranie,Huddersfield,Martin,Cranie,14,40,0.4,2,0.7,179,0
Stankovic,Huddersfield,Jon Gorenc,Stankovic,27,40,0.1,0,0,0,0
Hudson,Huddersfield,Mark,Hudson,5,40,0.1,0,0,0,0
Zanka,Huddersfield,Mathias,Jorgensen,25,45,6.8,53,3.3,1440,4
Mooy,Huddersfield,Aaron,Mooy,10,54,5.8,51,3.2,1348,3
van La Parra,Huddersfield,Rajiv,van La Parra,17,48,0.1,22,1.7,750,0
Hogg,Huddersfield,Jonathan,Hogg,6,44,0.4,19,1.9,735,0
Billing,Huddersfield,Philip,Billing,8,45,0.3,12,1.7,420,0
Lolley,Huddersfield,Joe,Lolley,18,44,0.1,1,1,3,0
Payne,Huddersfield,Jack,Payne,16,45,0,0,0,0,0
Whitehead,Huddersfield,Dean,Whitehead,4,43,0.1,2,1,20,0
Bunn,Huddersfield,Harry,Bunn,11,45,0,0,0,0,0
Scannell,Huddersfield,Sean,Scannell,7,45,0,0,0,0,0
Kachunga,Huddersfield,Elias,Kachunga,9,58,0.2,36,2.4,1145,0
Ince,Huddersfield,Tom,Ince,22,56,0.5,39,2.6,1337,0
Palmer,Huddersfield,Kasey,Palmer,45,53,0,4,1,168,0
Williams,Huddersfield,Danny,Williams,19,49,0,15,1.3,610,0
Wells,Burnley,Nahki,Wells,21,49,0,0,0,0,0
Quaner,Huddersfield,Collin,Quaner,23,45,4.8,13,1.4,320,0
Depoitre,Huddersfield,Laurent,Depoitre,20,52,0.5,37,2.8,907,6
Mounie,Huddersfield,Steve,Mounie,24,57,0.9,37,3.4,621,6
Schmeichel,Leicester,Kasper,Schmeichel,1,50,4.4,63,3.9,1440,9
Hamer,Leicester,Ben,Hamer,12,44,0.1,0,0,0,0
Morgan,Leicester,Wes,Morgan,5,45,3,39,2.4,1440,1
Fuchs,Leicester,Christian,Fuchs,28,49,2.4,37,3.1,991,6
Simpson,Leicester,Danny,Simpson,2,45,4,40,2.5,1423,0
Huth,Leicester,Robert,Huth,6,48,0.1,0,0,0,0
Benalouane,Leicester,Yohan,Benalouane,29,43,0.1,0,0,0,0
Chilwell,Leicester,Benjamin,Chilwell,3,43,0.5,20,2.5,568,0
Wagué,Watford,Molla,Wagué,13,45,0,1,1,45,0
Maguire,Leicester,Harry,Maguire,15,52,8.7,60,3.8,1440,6
Mahrez,Leicester,Riyad,Mahrez,26,85,5.8,84,5.3,1270,8
Albrighton,Leicester,Marc,Albrighton,11,55,1.9,49,3.1,1121,6
King,Leicester,Andy,King,10,43,3.1,14,1.8,347,1
Drinkwater,Chelsea,Daniel,Drinkwater,6,48,0.2,8,1.3,217,0
Gray,Leicester,Demarai,Gray,7,53,1.4,43,2.9,746,2
Amartey,Leicester,Daniel,Amartey,18,43,0.2,1,1,18,0
Mendy,Leicester,Nampalys,Mendy,24,45,0,0,0,0,0
Ndidi,Leicester,Wilfred,Ndidi,25,49,0.5,45,2.8,1440,2
Musa,Leicester,Ahmed,Musa,13,62,0.4,0,0,0,0
Iborra,Leicester,Vicente,Iborra,21,58,0.1,28,2.8,822,2
Vardy,Leicester,Jamie,Vardy,9,86,16.5,71,4.4,1411,11
Ulloa,Leicester,Leonardo,Ulloa,23,48,0.2,1,1,1,0
Okazaki,Leicester,Shinji,Okazaki,20,54,3.8,41,3.2,614,4
Slimani,Leicester,Islam,Slimani,19,67,0.3,12,1.3,117,0
Mignolet,Liverpool,Simon,Mignolet,22,49,1.7,50,3.3,1350,0
Karius,Liverpool,Loris,Karius,1,48,0.2,6,6,90,0
Lovren,Liverpool,Dejan,Lovren,6,53,0.8,31,2.6,845,1
Moreno,Liverpool,Alberto,Moreno,18,46,3.8,44,3.7,1080,3
Clyne,Liverpool,Nathaniel,Clyne,2,53,0.2,0,0,0,0
Gomez,Liverpool,Joseph,Gomez,12,47,5.7,50,4.2,991,6
Matip,Liverpool,Joel,Matip,32,54,2.1,48,3.7,1170,3
Klavan,Liverpool,Ragnar,Klavan,17,43,1.1,27,3.4,720,1
Sakho,Crystal Palace,Mamadou,Sakho,12,50,1.7,40,4,834,10
Milner,Liverpool,James,Milner,7,61,2.4,32,2.3,738,3
Alexander-Arnold,Liverpool,Trent,Alexander-Arnold,66,42,1.1,10,2,450,1
Lucas,Liverpool,Leiva,Lucas,21,45,0,0,0,0,0
Henderson,Liverpool,Jordan,Henderson,14,55,1.6,42,3,1170,3
Coutinho,Liverpool,Philippe,Coutinho,10,90,11.1,64,7.1,672,10
Can,Liverpool,Emre,Can,23,48,4.5,36,3,905,1
Lallana,Liverpool,Adam,Lallana,20,73,0.3,1,1,1,0
Sheyi Ojo,Liverpool,Oluwaseyi,Ojo,54,50,0,0,0,0,0
Mané,Liverpool,Sadio,Mané,19,94,8,51,5.1,690,5
Grujic,Liverpool,Marko,Grujic,16,43,0.6,3,1,14,0
Wijnaldum,Liverpool,Georginio,Wijnaldum,5,67,2.3,37,2.8,1051,0
Woodburn,Liverpool,Ben,Woodburn,58,43,0.3,0,0,0,0
Salah,Liverpool,Mohamed,Salah,11,99,56,124,7.8,1186,15
Firmino,Liverpool,Roberto,Firmino,9,85,21.8,68,4.5,1074,11
Sturridge,Liverpool,Daniel,Sturridge,15,80,0.7,25,2.8,427,0
Ings,Liverpool,Danny,Ings,28,54,0.1,1,1,8,0
Origi,Liverpool,Divock,Origi,27,74,0.2,1,1,9,0
Solanke,Liverpool,Dominic,Solanke,29,47,1.7,15,1.5,234,0
Ederson,Man City,Ederson,Santana de Moraes,31,55,5,58,3.6,1395,2
Bravo,Man City,Claudio,Bravo,1,46,0.5,1,1,44,0
Stones,Man City,John,Stones,5,55,3.8,46,3.8,884,2
Kolarov,Man City,Aleksandar,Kolarov,11,55,0,0,0,0,0
Kompany,Man City,Vincent,Kompany,4,58,2.1,17,2.4,574,0
Otamendi,Man City,Nicolás,Otamendi,30,60,20.7,80,5.3,1330,11
Delph,Man City,Fabian,Delph,18,45,0.9,32,2.9,920,0
Sterling,Man City,Raheem,Sterling,7,83,19.5,91,6.5,1026,9
David Silva,Man City,David,Silva,21,81,15.5,86,5.4,1336,12
Yaya Touré,Man City,Gnegneri Yaya,Touré,42,61,0.8,2,1,29,0
Fernandinho,Man City,Fernando,Luiz Rosa,25,52,7,56,3.5,1324,3
Fernando,Man City,Fernando Francisco,Reges,6,45,0,0,0,0,0
De Bruyne,Man City,Kevin,De Bruyne,17,102,21.9,93,5.8,1377,11
Gündogan,Man City,Ilkay,Gündogan,8,53,0.2,11,1.1,213,0
Nolito,Man City,Manuel,Agudo Durán,9,70,0,0,0,0,0
Sané,Man City,Leroy,Sané,19,87,18.9,85,5.7,1029,10
Bernardo Silva,Man City,Bernardo Mota,Veiga de Carvalho e Silva,20,74,0.6,26,1.9,360,0
Agüero,Man City,Sergio,Agüero,10,116,16.7,79,7.2,861,13
Iheanacho,Leicester,Kelechi,Iheanacho,8,65,0.6,10,1.1,254,0
Jesus,Man City,Gabriel Fernando,de Jesus,33,103,12.3,75,5,874,11
de Gea,Man Utd,David,de Gea,1,58,42.6,85,5.3,1440,7
Romero,Man Utd,Sergio,Romero,20,48,0.1,0,0,0,0
Joel Pereira,Man Utd,Joel Dinis,Castro Pereira,40,39,3.8,0,0,0,0
Smalling,Man Utd,Chris,Smalling,12,54,4.1,40,3.6,915,2
Jones,Man Utd,Phil,Jones,4,53,6.4,59,5.4,893,8
Shaw,Man Utd,Luke,Shaw,23,49,0.1,0,0,0,0
Rojo,Man Utd,Marcos,Rojo,5,54,0.2,1,0.3,225,0
Valencia,Man Utd,Antonio,Valencia,25,68,16.5,81,5.1,1440,8
Darmian,Man Utd,Matteo,Darmian,36,50,0.2,9,2.3,195,0
Fosu-Mensah,Crystal Palace,Timothy,Fosu-Mensah,24,44,0.9,13,1.3,791,0
Blind,Man Utd,Daley,Blind,17,52,1.1,19,4.8,271,0
Bailly,Man Utd,Eric,Bailly,3,60,7.2,46,5.8,720,3
Tuanzebe,Man Utd,Axel,Tuanzebe,38,39,1.7,0,0,0,0
Lindelöf,Man Utd,Victor,Lindelöf,2,49,1.3,15,2.1,473,1
Mata,Man Utd,Juan,Mata,8,68,1.9,36,3.3,642,2
Fellaini,Man Utd,Marouane,Fellaini,27,48,0.8,32,3.6,373,3
Carrick,Man Utd,Michael,Carrick,16,43,1,0,0,0,0
Young,Man Utd,Ashley,Young,18,51,5.6,51,4.3,1067,6
Herrera,Man Utd,Ander,Herrera,21,51,1.3,20,1.5,637,0
Lingard,Man Utd,Jesse,Lingard,14,59,1.9,45,3.8,466,5
Martial,Man Utd,Anthony,Martial,11,80,3.5,65,4.3,661,1
Mkhitaryan,Man Utd,Henrikh,Mkhitaryan,22,77,7.4,53,4.4,804,4
Pogba,Man Utd,Paul,Pogba,6,79,10,56,7,682,4
McTominay,Man Utd,Scott,McTominay,39,43,0.5,0,0,0,0
Rashford,Man Utd,Marcus,Rashford,19,76,8.1,60,3.8,982,6
Lukaku,Man Utd,Romelu,Lukaku,9,113,32.2,81,5.1,1440,8
Elliot,Newcastle,Robert,Elliot,1,41,24.4,42,3.2,1170,2
Darlow,Newcastle,Karl,Darlow,26,44,0.2,6,2,270,0
Yedlin,Newcastle,DeAndre,Yedlin,22,44,0.7,23,1.9,995,2
Clark,Newcastle,Ciaran,Clark,2,45,2,40,3.1,1115,4
Lascelles,Newcastle,Jamaal,Lascelles,6,46,5.9,44,4,947,4
Dummett,Newcastle,Paul,Dummett,3,42,0.1,1,1,7,0
Hanley,Newcastle,Grant,Hanley,5,40,0.5,0,0,0,0
Gámez,Newcastle,Jesús,Gámez Duarte,27,40,2.7,9,4.5,97,2
Lejeune,Newcastle,Florian,Lejeune,20,44,0.2,13,1.3,843,0
Ritchie,Newcastle,Matt,Ritchie,11,57,3,59,3.7,1373,6
Shelvey,Newcastle,Jonjo,Shelvey,8,52,0.4,19,1.6,745,1
Gouffran,Newcastle,Yoan,Gouffran,20,50,0,0,0,0,0
Diamé,Newcastle,Mohamed,Diamé,10,46,0.1,13,1.3,309,0
Colback,Newcastle,Jack,Colback,4,43,1.3,0,0,0,0
Atsu,Newcastle,Christian,Atsu,30,49,1.3,38,3.2,939,2
Gayle,Newcastle,Dwight,Gayle,9,61,1.1,37,2.8,645,4
Pérez,Newcastle,Ayoze,Pérez,17,53,0.8,33,2.2,1021,2
Mitrovic,Newcastle,Aleksandar,Mitrovic,45,48,0.9,10,1.7,89,0
Murphy,Newcastle,Daryl,Murphy,33,45,0.5,0,0,0,0
McCarthy,Southampton,Alex,McCarthy,13,44,0.1,0,0,0,0
Forster,Southampton,Fraser,Forster,44,50,7.6,66,4.1,1440,6
Bertrand,Southampton,Ryan,Bertrand,21,54,8.2,52,3.3,1435,4
Yoshida,Southampton,Maya,Yoshida,3,48,3.2,50,4.2,994,6
Targett,Southampton,Matt,Targett,33,43,0.1,0,0,0,0
Cédric,Southampton,Cédric,Soares,2,48,4.2,39,2.8,1248,0
van Dijk,Southampton,Virgil,van Dijk,17,54,2,25,2.3,903,4
Pied,Southampton,Jérémy,Pied,26,42,0.1,2,2,90,0
Stephens,Southampton,Jack,Stephens,5,45,0.2,16,3.2,450,1
McQueen,Southampton,Sam,McQueen,38,43,0.1,3,1,23,0
Bednarek,Southampton,Jan,Bednarek,35,42,0.1,0,0,0,0
Davis,Southampton,Steven,Davis,8,51,4,56,3.7,1130,6
Ward-Prowse,Southampton,James,Ward-Prowse,16,50,0.5,23,1.9,501,0
Tadic,Southampton,Dusan,Tadic,11,63,1.9,52,3.5,1183,5
Clasie,Southampton,Jordy,Clasie,4,44,0.1,0,0,0,0
Oriol Romeu,Southampton,Oriol,Romeu Vidal,14,44,2.7,34,2.3,1304,0
Højbjerg,Southampton,Pierre-Emile,Højbjerg,23,43,0.4,7,1.8,249,0
Boufal,Southampton,Sofiane,Boufal,19,57,0.2,28,2.3,605,2
Sims,Southampton,Joshua,Sims,39,44,0.1,0,0,0,0
Redmond,Southampton,Nathan,Redmond,22,60,2.1,40,2.7,1083,2
Long,Southampton,Shane,Long,7,56,0.3,23,1.8,670,0
Austin,Southampton,Charlie,Austin,10,62,3.6,43,3.3,399,7
Gabbiadini,Southampton,Manolo,Gabbiadini,20,64,1.7,37,2.6,680,4
Butland,Stoke,Jack,Butland,1,50,2.3,35,2.7,1170,3
Grant,Stoke,Lee,Grant,33,43,0.3,5,1.7,270,0
Shawcross,Stoke,Ryan,Shawcross,17,48,0.9,30,2.7,990,0
Cameron,Stoke,Geoff,Cameron,20,43,0.3,14,1.8,578,0
Pieters,Stoke,Erik,Pieters,3,48,0.5,25,1.6,1438,0
Muniesa,Stoke,Marc,Muniesa,5,45,0,0,0,0,0
Bardsley,Burnley,Phil,Bardsley,26,43,0.1,8,2.7,270,0
Johnson,Stoke,Glen,Johnson,8,41,0.3,1,0.3,149,0
Tymon,Stoke,Josh,Tymon,12,44,0,0,0,0,0
Allen,Stoke,Joe,Allen,4,52,1.3,38,2.5,1332,4
Adam,Stoke,Charlie,Adam,16,47,0.1,2,1,7,0
Whelan,Stoke,Glenn,Whelan,6,45,0,0,0,0,0
