web_name,team name,first_name,second_name,squad_number,now_cost,selected_by_percent,total_points,points_per_game,minutes,bonus
McAuley,West Brom,Gareth,McAuley,23,47,0.5,4,0.8,258,0
Livermore,West Brom,Jake,Livermore,8,49,0.2,33,2.2,1240,0
Chadli,West Brom,Nacer,Chadli,22,57,0.2,12,6,159,3
Morrison,West Brom,James,Morrison,7,54,0,13,3.3,205,0
Yacob,West Brom,Claudio,Yacob,5,43,0.3,9,1.3,339,0
McClean,West Brom,James,McClean,14,48,0.1,14,1.1,362,0
Leko,West Brom,Jonathan,Leko,45,45,0,0,0,0,0
Phillips,West Brom,Matt,Phillips,10,55,0.5,39,3,801,0
Field,West Brom,Sam,Field,28,45,0.2,20,3.3,438,2
Brunt,West Brom,Chris,Brunt,11,51,0.6,19,3.2,410,3
Rondón,West Brom,Salomón,Rondón,9,60,0.7,30,2,968,0
Robson-Kanu,West Brom,Hal,Robson-Kanu,4,49,0.5,19,1.7,487,1
Rodriguez,West Brom,Jay,Rodriguez,19,56,0.7,36,2.4,1283,0
Adrián,West Ham,Adrián,San Miguel del Castillo,13,43,0.5,7,3.5,180,0
Randolph,West Ham,Darren,Randolph,1,45,0,0,0,0,0
Fonte,West Ham,Jose,Fonte,4,48,1.1,34,4.3,688,3
Collins,West Ham,James,Collins,19,43,0.1,8,2.7,237,0
Reid,West Ham,Winston,Reid,2,48,0.7,31,2.6,1066,3
Cresswell,West Ham,Aaron,Cresswell,3,50,0.7,43,2.9,1224,4
Ogbonna,West Ham,Angelo,Ogbonna,21,43,1,22,2,990,3
Byram,West Ham,Sam,Byram,22,43,0.1,0,0,0,0
Masuaku,West Ham,Arthur,Masuaku,26,44,0.4,20,1.8,621,1
Zabaleta,West Ham,Pablo,Zabaleta,5,49,1.6,36,2.4,1321,6
Snodgrass,West Ham,Robert,Snodgrass,11,58,0.5,0,0,0,0
Ayew,West Ham,André,Ayew,20,68,1.1,38,2.7,716,2
Noble,West Ham,Mark,Noble,16,53,0.1,18,2,701,0
Kouyaté,West Ham,Cheikhou,Kouyaté,8,50,0.3,37,2.8,1006,2
Obiang,West Ham,Pedro,Obiang,14,44,1.1,29,2.4,914,3
Lanzini,West Ham,Manuel,Lanzini,10,68,0.6,32,2.9,858,3
Antonio,West Ham,Michail,Antonio,30,74,0.2,33,2.8,855,1
Feghouli,West Ham,Sofiane,Feghouli,7,55,0,0,0,0,0
Fernandes,West Ham,Edimilson,Fernandes,31,44,0.2,9,1.3,412,0
Carroll,West Ham,Andy,Carroll,9,59,0.2,8,1,539,0
Sakho,West Ham,Diafra,Sakho,15,55,0.2,19,1.5,272,1
Fletcher,West Ham,Ashley,Fletcher,24,45,0.3,0,0,0,0
Suttner,Brighton,Markus,Suttner,29,43,0.5,27,3,810,1
Malone,Huddersfield,Scott,Malone,3,43,0.3,17,2.1,449,3
