Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
19/11/2016,Stoke,Bournemouth,0,1,R East
19/11/2016,Sunderland,Hull,3,0,L Mason
19/11/2016,Tottenham,West Ham,3,2,M Dean
19/11/2016,Watford,Leicester,2,1,N Swarbrick
20/11/2016,Middlesbrough,Chelsea,0,1,J Moss
21/11/2016,West Brom,Burnley,4,0,M Jones
26/11/2016,Burnley,Man City,1,2,A Marriner
26/11/2016,Chelsea,Tottenham,2,1,M Oliver
26/11/2016,Hull,West Brom,1,1,P Tierney
26/11/2016,Leicester,Middlesbrough,2,2,L Mason
26/11/2016,Liverpool,Sunderland,2,0,A Taylor
26/11/2016,Swansea,Crystal Palace,5,4,K Friend
27/11/2016,Arsenal,Bournemouth,3,1,M Jones
27/11/2016,Man United,West Ham,1,1,J Moss
27/11/2016,Southampton,Everton,1,0,C Pawson
27/11/2016,Watford,Stoke,0,1,R Madley
03/12/2016,Crystal Palace,Southampton,3,0,N Swarbrick
03/12/2016,Man City,Chelsea,1,3,A Taylor
03/12/2016,Stoke,Burnley,2,0,M Clattenburg
03/12/2016,Sunderland,Leicester,2,1,A Marriner
03/12/2016,Tottenham,Swansea,5,0,J Moss
03/12/2016,West Brom,Watford,3,1,G Scott
03/12/2016,West Ham,Arsenal,1,5,C Pawson
04/12/2016,Bournemouth,Liverpool,4,3,R Madley
04/12/2016,Everton,Man United,1,1,M Oliver
05/12/2016,Middlesbrough,Hull,1,0,M Dean
10/12/2016,Arsenal,Stoke,3,1,L Mason
10/12/2016,Burnley,Bournemouth,3,2,M Atkinson
10/12/2016,Hull,Crystal Palace,3,3,M Jones
10/12/2016,Leicester,Man City,4,2,M Oliver
10/12/2016,Swansea,Sunderland,3,0,C Pawson
10/12/2016,Watford,Everton,3,2,A Taylor
11/12/2016,Chelsea,West Brom,1,0,M Dean
11/12/2016,Liverpool,West Ham,2,2,M Clattenburg
11/12/2016,Man United,Tottenham,1,0,R Madley
11/12/2016,Southampton,Middlesbrough,1,0,S Attwell
13/12/2016,Bournemouth,Leicester,1,0,P Tierney
13/12/2016,Everton,Arsenal,2,1,M Clattenburg
14/12/2016,Crystal Palace,Man United,1,2,C Pawson
14/12/2016,Man City,Watford,2,0,K Friend
14/12/2016,Middlesbrough,Liverpool,0,3,J Moss
14/12/2016,Stoke,Southampton,0,0,A Taylor
14/12/2016,Sunderland,Chelsea,0,1,N Swarbrick
14/12/2016,Tottenham,Hull,3,0,A Marriner
14/12/2016,West Brom,Swansea,3,1,M Oliver
14/12/2016,West Ham,Burnley,1,0,R Madley
