web_name,team_code,first_name,second_name,squad_number,now_cost,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,element_type,team
Atsu,4,Christian,Atsu,30,48,1,2.1,65,3.4,1434,2,4,5,15,0,0,0,1,0,0,5,199,90.6,3,13
Gayle,4,Dwight,Gayle,9,61,1,1.1,47,2.4,1040,3,1,1,22,0,0,0,2,0,0,4,148,74.3,4,13
Pérez,4,Ayoze,Pérez,17,52,1,1.3,52,2.5,1326,2,2,4,16,1,0,0,1,0,0,5,158,82.6,4,13
Mitrovic,4,Aleksandar,Mitrovic,45,47,0,0.7,10,1.7,89,1,0,0,0,0,0,0,0,0,0,0,37,16.6,4,13
Murphy,4,Daryl,Murphy,33,45,0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,13
McCarthy,20,Alex,McCarthy,13,44,0,0.1,9,3.0,270,0,0,1,4,0,0,0,1,0,7,1,48,4.1,1,14
Forster,20,Fraser,Forster,44,48,1,5.2,73,3.6,1800,0,0,4,30,0,1,0,0,0,69,6,351,48.9,1,14
Bertrand,20,Ryan,Bertrand,21,53,1,4.8,59,3.0,1795,0,3,4,28,0,0,0,0,0,0,4,357,88.8,2,14
Yoshida,20,Maya,Yoshida,3,48,0,3.4,66,3.7,1534,2,1,5,24,0,0,0,1,0,0,6,335,73.0,2,14
Targett,20,Matt,Targett,33,43,0,0.1,2,1.0,166,0,0,0,6,0,0,0,0,0,0,0,35,8.1,2,14
Cédric,20,Cédric,Soares,2,47,0,2.5,40,2.4,1444,0,0,4,22,0,0,0,1,0,0,0,234,58.8,2,14
van Dijk,14,Virgil,van Dijk,4,55,1,4.7,25,2.1,993,0,0,1,18,0,0,0,0,0,0,4,199,43.7,2,10
Pied,20,Jérémy,Pied,26,42,0,0.1,7,3.5,180,0,1,0,3,0,0,0,0,0,0,1,47,10.0,2,14
Stephens,20,Jack,Stephens,5,45,0,0.2,27,2.5,990,0,0,3,16,0,0,0,2,0,0,1,186,30.9,2,14
