web_name,team_code,first_name,second_name,squad_number,now_cost,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,element_type,team
Kouyaté,21,Cheikhou,Kouyaté,8,50,0,0.4,49,2.7,1456,2,1,3,29,0,0,0,2,0,0,2,210,58.5,3,20
Obiang,21,Pedro,Obiang,14,44,1,1.5,51,2.7,1468,2,0,5,28,0,0,0,3,0,0,6,256,56.7,3,20
Lanzini,21,Manuel,Lanzini,10,68,2,2.6,71,4.2,1386,3,6,3,26,0,0,1,3,0,0,8,334,111.6,3,20
Antonio,21,Michail,Antonio,30,74,0,0.2,40,2.7,1061,1,1,6,16,0,0,0,1,0,0,1,94,61.7,3,20
Feghouli,21,Sofiane,Feghouli,7,55,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Fernandes,21,Edimilson,Fernandes,31,44,0,0.2,9,1.3,412,0,0,0,13,0,0,0,1,0,0,0,44,10.6,3,20
Carroll,21,Andy,Carroll,9,58,1,0.8,25,2.1,695,2,1,3,12,0,0,0,5,1,0,3,71,49.8,4,20
Sakho,21,Diafra,Sakho,15,55,0,0.2,24,1.7,294,2,1,0,11,0,0,0,2,0,0,1,65,21.2,4,20
Fletcher,21,Ashley,Fletcher,24,45,0,0.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,20
Suttner,36,Markus,Suttner,29,43,1,0.5,37,3.1,1080,0,0,4,14,0,0,0,0,0,0,3,193,28.5,2,3
Malone,38,Scott,Malone,3,43,1,0.2,28,2.0,785,0,1,2,18,0,0,0,3,0,0,4,162,30.6,2,8
Bakayoko,8,Tiemoué,Bakayoko,14,50,1,2.2,64,3.0,1550,2,2,8,12,0,0,0,2,0,0,5,282,92.2,3,5
Martina,11,Cuco,Martina,15,44,0,1.9,40,2.7,1290,0,0,5,19,0,0,0,2,0,0,0,262,52.5,2,7
Haidara,4,Massadio,Haidara,25,39,0,1.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,13
de Jong,4,Siem,de Jong,15,49,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,13
Aarons,4,Rolando,Aarons,16,43,0,0.2,5,1.3,136,0,0,0,2,0,0,0,0,0,0,0,19,4.6,3,13
Hegazi,35,Ahmed El-Sayed,Hegazi,26,46,1,19.6,73,3.2,2036,1,0,7,29,0,0,0,3,0,0,7,395,78.2,2,19
Pope,90,Nick,Pope,29,48,2,8.2,95,4.8,1764,0,0,9,16,0,0,0,2,0,65,12,426,46.8,1,4
Christensen,8,Andreas,Christensen,27,56,0,4.3,60,3.5,1280,0,0,7,10,0,0,0,0,0,0,3,316,39.0,2,5
Musonda,8,Charly,Musonda,17,48,0,0.0,2,1.0,26,0,0,0,0,0,0,0,0,0,0,0,-2,1.6,3,5
Morata,8,Álvaro,Morata,9,104,2,15.0,97,4.8,1514,10,4,11,8,0,0,0,5,0,0,13,300,174.5,4,5
Jakupovic,13,Eldin,Jakupovic,17,42,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,9
James,13,Matty,James,22,44,0,0.2,14,2.0,519,0,0,3,6,0,0,0,2,0,0,0,66,12.8,3,9
Robertson,14,Andrew,Robertson,26,47,1,2.6,39,3.9,884,0,1,4,10,0,0,0,1,0,0,3,193,42.3,2,10
Pereira,1,Andreas,Pereira,15,49,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,12
Manquillo,4,Javier,Manquillo,19,44,0,1.0,43,2.4,1620,0,0,4,26,0,0,0,2,0,0,1,224,40.3,2,13
Murphy,4,Jacob,Murphy,7,50,0,0.1,28,1.8,730,0,1,1,17,0,0,0,0,0,0,0,92,31.6,3,13
Hart,21,Joe,Hart,25,43,1,5.6,45,3.2,1260,0,1,3,30,0,1,0,0,0,39,3,261,30.2,1,20
Chambers,3,Calum,Chambers,21,47,0,0.2,5,1.3,340,0,0,0,6,0,0,0,1,0,0,0,56,14.0,2,1
Brown,36,Isaiah,Brown,37,52,0,0.0,16,1.2,302,0,0,0,8,0,0,0,0,0,0,0,60,14.5,3,3
Riedewald,31,Jairo,Riedewald,44,47,0,0.1,17,2.4,309,0,0,2,4,0,0,0,0,0,0,0,77,6.5,2,6
Danilo,43,Danilo Luiz,da Silva,3,50,0,2.6,54,4.2,740,1,1,6,6,0,0,0,1,0,0,3,228,40.0,2,11
Mendy,43,Benjamin,Mendy,22,63,0,0.3,17,4.3,298,0,1,2,1,0,0,0,2,0,0,1,84,19.7,2,11
Bartley,80,Kyle,Bartley,27,43,0,0.0,4,1.3,165,0,0,0,2,0,0,0,1,0,0,0,24,8.1,2,16
Watson,57,Ben,Watson,23,43,0,0.2,10,1.4,365,0,0,0,10,0,0,0,1,0,0,0,49,8.1,3,18
Chicharito,21,Javier,Hernández Balcázar,17,67,2,6.8,51,3.0,1040,4,1,5,22,0,0,0,3,0,0,6,155,71.8,4,20
Joselu,4,Jose Luis,Mato Sanmartín,21,55,0,0.7,59,3.0,1384,4,1,5,21,0,0,0,2,0,0,5,194,94.0,4,13
Nelson,3,Reiss,Nelson,61,48,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1
Pröpper,36,Davy,Pröpper,24,53,0,0.1,59,2.6,2055,0,2,8,29,0,0,0,2,0,0,1,304,69.5,3,3
Lokilo,31,Jason,Lokilo,28,43,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,6
Foden,43,Phil,Foden,47,47,0,0.0,1,1.0,7,0,0,0,1,0,0,0,0,0,0,0,1,0.1,3,11
Diaz,43,Brahim,Diaz,55,47,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,11
Mbemba,4,Chancel,Mbemba,18,39,1,12.4,20,2.2,670,0,0,1,11,0,0,0,0,0,0,3,133,23.2,2,13
Merino,4,Mikel,Merino,23,50,0,0.1,41,2.3,1145,1,1,3,15,0,0,0,4,0,0,4,237,66.4,3,13
Hayden,4,Isaac,Hayden,14,44,0,0.2,32,1.8,1182,1,0,3,19,0,0,0,7,0,0,0,138,52.3,3,13
Choupo-Moting,110,Eric Maxim,Choupo-Moting,10,54,2,3.3,82,3.7,1675,4,4,2,39,0,0,0,2,0,0,9,246,133.1,3,15
Walker-Peters,6,Kyle,Walker-Peters,37,41,0,0.8,7,3.5,98,0,0,1,0,0,0,0,0,0,0,0,33,4.4,2,17
Sinclair,57,Jerome,Sinclair,17,49,0,0.2,3,1.0,28,0,0,0,0,0,0,0,0,0,0,0,8,0.5,4,18
Lemina,20,Mario,Lemina,18,48,0,0.1,30,1.9,1040,0,0,3,19,0,0,0,1,0,0,0,202,39.5,3,14
Richarlison,57,Richarlison,de Andrade,11,64,2,14.4,101,4.4,1982,5,8,6,39,0,0,0,3,0,0,4,247,167.6,3,18
Mangala,43,Eliaquim,Mangala,15,50,0,0.2,21,2.3,483,0,0,2,2,0,0,0,0,0,0,0,104,13.1,2,11
Tomori,8,Fikayo,Tomori,31,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,5
Scott,8,Kyle,Scott,36,43,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,5
Ladapo,31,Olayinka Fredrick Oladotun,Ladapo,19,45,0,1.6,1,1.0,16,0,0,0,1,0,0,0,0,0,0,0,3,0.2,4,6
Taylor,20,Stuart,Taylor,28,40,0,0.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,14
Harper,35,Rekeem,Harper,34,45,0,0.0,1,1.0,20,0,0,0,0,0,0,0,0,0,0,0,6,2.7,3,19
Wilson,35,Kane,Wilson,49,40,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,19
Boga,8,Jeremie,Boga,38,60,0,0.0,1,1.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,5
Rice,21,Declan,Rice,41,44,0,0.1,11,0.9,442,0,0,0,11,0,0,0,1,0,0,0,74,11.1,2,20
Carter-Vickers,6,Cameron,Carter-Vickers,38,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,17
Jesé,110,Jesé,Rodríguez Ruiz,11,54,1,2.0,26,2.9,482,1,1,1,14,0,0,0,0,0,0,2,77,34.7,3,15
Martins Indi,110,Bruno,Martins Indi,15,49,0,0.0,6,0.7,578,0,0,0,18,0,0,0,1,0,0,0,90,16.7,2,15
Flanagan,14,Jon,Flanagan,38,44,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,10
Kaikai,31,Sullay,Kaikai,25,43,0,0.1,1,1.0,13,0,0,0,0,0,0,0,0,0,0,0,5,0.6,3,6
Saivet,4,Henri,Saivet,24,44,0,0.0,8,8.0,83,1,0,0,2,0,0,0,0,0,0,1,27,5.8,3,13
Izquierdo,36,José Heriberto,Izquierdo Mena,19,59,0,0.1,46,2.6,834,2,2,3,14,0,0,0,1,0,0,1,136,50.8,3,3
Wood,90,Chris,Wood,11,63,0,0.7,49,3.3,1021,4,0,7,6,0,0,0,1,0,0,8,126,61.9,4,4
Clucas,80,Sam,Clucas,17,47,0,0.0,33,2.1,1038,1,0,2,17,0,0,0,1,0,0,0,163,28.7,3,16
Sánchez,6,Davinson,Sánchez,6,60,0,0.5,52,3.1,1370,0,0,7,12,0,0,0,1,1,0,1,304,42.3,2,17
Hadergjonaj,38,Florent,Hadergjonaj,33,45,0,0.0,18,2.0,510,0,1,1,12,0,0,0,1,0,0,2,112,21.9,2,8
Sabiri,38,Abdelhamid,Sabiri,11,48,0,0.0,9,2.3,187,0,1,1,4,0,0,0,1,0,0,0,26,12.2,3,8
Ibrahimovic,1,Zlatan,Ibrahimovic,10,96,0,0.2,5,1.0,102,0,0,0,2,0,0,0,0,0,0,0,18,12.6,4,12
Burke,35,Oliver,Burke,17,50,0,0.0,12,1.5,159,0,1,0,6,0,0,0,0,0,0,0,35,12.0,3,19
Hoedt,20,Wesley,Hoedt,6,50,0,0.1,30,2.3,1170,0,1,2,20,0,0,0,3,0,0,2,244,46.2,2,14
Haksabanovic,21,Sead,Haksabanovic,23,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Carrillo,57,André,Carrillo,28,55,0,0.1,55,2.6,1332,1,3,3,29,0,0,0,1,0,0,4,241,76.5,3,18
Anderson,31,Keshi,Anderson,31,45,0,0.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,6
Woodman,4,Freddie,Woodman,41,40,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,13
Ward,14,Danny,Ward,52,44,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,10
Oakley-Boothe,6,Tashan,Oakley-Boothe,46,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,17
Aurier,6,Serge,Aurier,24,59,2,0.8,46,4.2,906,1,1,4,9,0,0,0,0,1,0,6,196,48.3,2,17
Krychowiak,35,Grzegorz,Krychowiak,20,48,0,0.2,37,2.3,1097,0,2,3,21,0,0,0,2,0,0,3,180,37.9,3,19
Foyth,6,Juan,Foyth,21,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,17
Sanches,80,Renato,Sanches,35,44,0,0.3,20,1.7,699,0,0,2,10,0,0,0,1,0,0,0,83,27.0,3,16
Karnezis,57,Orestis,Karnezis,30,45,0,0.0,0,0.0,31,0,0,0,3,0,0,0,0,0,0,0,4,0.1,1,18
Zeegelaar,57,Marvin,Zeegelaar,22,44,1,0.6,24,2.7,758,0,2,2,14,0,0,0,4,1,0,5,144,26.6,2,18
Schelotto,36,Ezequiel,Schelotto,21,44,0,0.0,7,0.9,344,0,0,0,9,0,0,0,0,0,0,0,58,13.2,2,3
Vlasic,11,Nikola,Vlasic,27,54,0,0.0,12,1.5,393,0,0,0,10,0,0,0,0,0,0,0,58,23.4,3,7
Krul,36,Tim,Krul,26,40,0,0.9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,3
Dragovic,13,Aleksandar,Dragovic,16,49,0,0.0,12,4.0,224,0,0,2,2,0,0,0,1,0,0,0,52,7.8,2,9
Bony,80,Wilfried,Bony,2,57,0,0.2,30,2.5,669,2,1,2,8,0,0,0,2,0,0,3,94,38.6,4,16
Zappacosta,8,Davide,Zappacosta,21,59,0,0.3,44,3.4,618,1,1,4,5,0,0,0,0,0,0,1,161,49.6,2,5
Lumeka,31,Levi,Lumeka,32,44,0,0.0,1,1.0,25,0,0,0,0,0,0,0,0,0,0,0,3,2.3,3,6
Legzdins,90,Adam,Legzdins,30,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4
Maitland-Niles,3,Ainsley,Maitland-Niles,30,45,0,0.1,15,1.9,507,0,0,2,9,0,0,0,0,0,0,0,81,19.7,3,1
Green,38,Robert,Green,28,40,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,8
Niasse,11,Oumar,Niasse,19,47,2,4.2,47,4.3,567,5,2,0,12,0,0,0,2,0,0,8,146,62.7,4,7
Ramsdale,91,Aaron,Ramsdale,12,40,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2
Souttar,110,Harry,Souttar,36,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,15
Zinchenko,43,Oleksandr,Zinchenko,35,50,0,0.0,1,1.0,17,0,0,0,0,0,0,0,0,0,0,0,15,2.5,3,11
Mutch,31,Jordon,Mutch,22,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,6
Molumby,36,Jayson,Molumby,49,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3
Lindegaard,90,Anders,Lindegaard,22,40,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4
Henry,31,Dion,Henry,30,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,6
Edwards,110,Thomas,Edwards,42,40,0,0.4,6,1.0,481,0,0,0,15,0,0,0,0,0,0,0,81,12.7,2,15
Palmer,35,Alex,Palmer,40,40,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,19
Ampadu,8,Ethan,Ampadu,44,45,0,0.0,1,1.0,10,0,0,0,1,0,0,0,0,0,0,0,6,0.7,3,5
Macey,3,Matt,Macey,54,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1
Nketiah,3,Edward,Nketiah,62,50,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1
Rodon,80,Joe,Rodon,61,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,16
Ngoy,110,Julien,Ngoy,28,45,0,0.6,1,1.0,19,0,0,0,2,0,0,0,0,0,0,0,4,0.3,4,15
Baningime,11,Beni,Baningime,54,45,0,0.0,5,1.0,145,0,0,0,1,0,0,0,0,0,0,0,17,0.6,3,7
Debuchy,3,Mathieu,Debuchy,2,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1
Gazzaniga,6,Paulo,Gazzaniga,22,42,0,0.1,9,9.0,90,0,0,1,0,0,0,0,0,0,3,2,26,2.7,1,17
Whiteman,6,Alfie,Whiteman,41,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,17
Martínez,21,Antonio,Martinez Lopez,29,50,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,20
Quina,21,Domingos,Quina,36,44,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Haugaard,110,Jakob,Haugaard,29,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,15
Simpson,91,Jack,Simpson,42,40,0,0.1,1,1.0,71,0,0,0,2,0,0,0,0,0,0,0,10,0.6,2,2
Choudhury,13,Hamza,Choudhury,38,44,0,0.0,1,1.0,7,0,0,0,0,0,0,0,0,0,0,0,2,0.2,3,9
Melbourne,35,Max,Melbourne,53,40,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,19
Johnson,21,Ben,Johnson,53,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Trott,21,Nathan,Trott,34,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,20
Ulvestad,90,Fredrik,Ulvestad,20,44,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,4
Mulder,80,Erwin,Mulder,25,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,16
Tulloch,35,Rayhaan,Tulloch,55,45,0,0.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,19
Ferguson,35,Nathan,Ferguson,64,40,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,19
Wan-Bissaka,31,Aaron,Wan-Bissaka,29,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,6
Makasi,21,Moses,Makasi,46,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Folivi,57,Michael,Folivi,39,45,0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,18
Bachmann,57,Daniel,Bachmann,35,40,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,18
Hudson-Odoi,8,Callum,Hudson-Odoi,70,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,5
Hyndman,91,Emerson,Hyndman,22,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2
Mahoney,91,Connor,Mahoney,23,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2
Adarabioyo,43,Oluwatosin,Adarabioyo,24,40,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,11
Thomas,13,George,Thomas,30,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,9
Butcher,91,Matt,Butcher,36,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2
Silva,13,Adrien Sebastian,Perruchet Silva,14,60,0,0.0,1,1.0,4,0,0,0,0,0,0,0,0,0,0,0,5,0.3,3,9
Ireland,110,Stephen,Ireland,7,45,0,0.0,1,1.0,90,0,0,0,3,0,0,0,1,0,0,0,1,2.7,3,15
Kongolo,38,Terence,Kongolo,5,45,0,0.0,1,1.0,19,0,0,0,0,0,0,0,0,0,0,0,4,0.6,2,8
Tosun,11,Cenk,Tosun,14,75,0,0.6,2,2.0,61,0,0,0,3,0,0,0,0,0,0,0,0,5.1,4,7
Pritchard,38,Alex,Pritchard,21,55,0,0.0,1,1.0,25,0,0,0,0,0,0,0,0,0,0,0,3,1.2,3,8
Mavropanos,3,Konstantinos,Mavropanos,27,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1
Burke,21,Reece,Burke,32,40,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,20
Cullen,21,Josh,Cullen,33,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Roberts,80,Connor,Roberts,52,40,0,0.0,1,1.0,25,0,0,0,1,0,0,0,0,0,0,0,3,0.2,2,16
